PID,Stimulus,Attentive,Distraction,Key,Correct,Timestamp,Reactiontime
1,Experiment start,False,False,P,False,67408850,3890
1,tastatur,True,True,P,True,67411064,1212
1,datei,True,True,P,True,67413056,991
1,Green,False,True,P,False,67415592,1534
1,Red,False,True,Q,False,67417232,639
1,pilz,True,False,P,True,67418728,494
1,egg,True,False,Q,True,67420288,558
1,Green,False,False,P,False,67422200,910
1,Green,False,False,P,False,67423680,479
1,Red,False,True,Q,False,67425056,374
1,ei,True,True,P,True,67426832,774
1,Red,False,False,Q,False,67428440,606
1,abenteuer,True,False,P,True,67430248,807
1,Green,False,False,P,False,67431872,622
1,Green,False,False,P,False,67433544,670
1,Red,False,False,Q,False,67435832,1286
1,Green,False,False,P,False,67438400,1567
1,adventure,True,False,Q,True,67440448,1046
1,beispiel,True,True,P,True,67442024,574
1,flasche,True,False,P,True,67443880,854
1,example,True,False,Q,True,67446320,1438
1,stuhl,True,False,P,True,67447895,573
1,rectangle,True,False,Q,True,67449584,687
1,Red,False,False,Q,False,67451032,447
1,flasche,True,False,P,True,67452816,783
1,Red,False,False,Q,False,67454992,1173
1,egg,True,True,Q,True,67456640,647
1,adventure,True,False,Q,True,67458184,541
1,holy,True,True,Q,True,67459840,655
1,baum,True,True,P,True,67461455,613
1,file,True,True,Q,True,67463024,567
1,ei,True,False,P,True,67464640,615
1,adventure,True,False,Q,True,67466296,654
1,bottle,True,True,Q,True,67468176,879
1,beispiel,True,False,P,True,67469760,583
1,mushroom,True,True,Q,True,67471423,662
1,flasche,True,False,P,True,67473440,1015
1,mund,True,False,P,True,67474976,534
1,adventure,True,False,Q,True,67476463,486
1,flasche,True,False,P,True,67478176,711
1,Red,False,False,Q,False,67480232,1055
1,holy,True,False,Q,True,67482616,1383
1,list,True,True,Q,True,67484760,1143
1,baum,True,False,P,True,67486568,807
1,Red,False,False,Q,False,67488640,1070
1,beispiel,True,False,P,True,67490256,614
1,mushroom,True,False,Q,True,67492681,1423
1,heilig,True,False,Q,False,67494400,718
1,Green,False,False,P,False,67496048,646
1,Red,False,False,Q,False,67497624,574
1,mund,True,True,P,True,67500136,1511
1,keyboard,True,False,Q,True,67502272,1134
1,bottle,True,False,Q,True,67503864,590
